Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,204.179993,204.470001,202.220001,202.470001,169.120773,3648400
2013-05-14,202.089996,203.669998,202.080002,203.210007,169.738922,3699700
2013-05-15,202.250000,203.679993,202.039993,203.320007,169.830826,4028100
2013-05-16,204.000000,206.589996,204.000000,204.690002,170.975159,4507000
2013-05-17,205.250000,209.500000,204.990005,208.440002,174.107468,5704100
2013-05-20,208.020004,209.149994,207.419998,207.600006,173.405838,3614500
2013-05-21,207.240005,209.479996,207.000000,208.649994,174.282883,2982900
2013-05-22,208.500000,210.149994,206.119995,206.990005,172.896301,5186800
2013-05-23,205.479996,208.610001,205.130005,206.160004,172.203003,5179100
2013-05-24,204.690002,206.429993,204.419998,205.720001,171.835480,3295800
2013-05-28,207.440002,208.589996,207.160004,207.779999,173.556168,4011500
2013-05-29,206.220001,208.419998,206.039993,207.919998,173.673111,3439400
2013-05-30,206.970001,210.990005,206.970001,209.360001,174.875916,4399700
2013-05-31,208.589996,211.979996,208.020004,208.020004,173.756699,4949000
2013-06-03,208.250000,210.050003,207.330002,208.949997,174.533478,3322000
2013-06-04,208.600006,209.000000,205.080002,206.190002,172.228027,3598300
2013-06-05,205.160004,206.289993,202.399994,202.740005,169.346329,4215400
2013-06-06,203.000000,204.199997,201.470001,203.800003,170.231720,3679400
2013-06-07,204.850006,206.350006,204.110001,206.350006,172.361710,2953400
2013-06-10,206.970001,206.979996,204.899994,205.020004,171.250809,2652300
2013-06-11,203.169998,205.949997,202.509995,203.979996,170.382080,2814400
2013-06-12,204.589996,205.229996,200.509995,201.199997,168.059998,3409800
2013-06-13,201.009995,204.399994,200.339996,203.770004,170.206680,2899500
2013-06-14,203.970001,204.740005,201.809998,202.199997,168.895294,2804500
2013-06-17,203.440002,205.169998,202.550003,203.039993,169.596893,3219900
2013-06-18,203.020004,206.089996,202.869995,204.869995,171.125488,3277800
2013-06-19,204.440002,205.029999,201.929993,201.940002,168.678101,2846100
2013-06-20,200.669998,201.699997,197.279999,197.350006,164.844131,4514800
2013-06-21,198.500000,198.520004,193.539993,195.460007,163.265457,8914800
2013-06-24,193.990005,194.910004,191.339996,193.539993,161.661667,4356200
2013-06-25,195.309998,195.589996,193.149994,194.979996,162.864456,3846200
2013-06-26,195.970001,196.229996,194.500000,194.860001,162.764267,3320200
2013-06-27,196.050003,196.899994,195.289993,195.649994,163.424133,3514200
2013-06-28,191.729996,192.660004,188.410004,191.110001,159.631943,10055800
2013-07-01,192.149994,193.800003,191.119995,191.279999,159.773911,4442400
2013-07-02,190.779999,193.229996,190.259995,191.500000,159.957672,3657700
2013-07-03,190.979996,194.220001,190.509995,193.250000,161.419464,1872600
2013-07-05,194.490005,195.160004,192.350006,194.929993,162.822723,2405400
2013-07-08,195.600006,195.779999,194.610001,194.979996,162.864456,2947500
2013-07-09,191.880005,192.800003,190.779999,191.300003,159.790619,5204200
2013-07-10,191.509995,193.429993,191.270004,192.250000,160.584167,3892000
2013-07-11,193.779999,194.110001,192.610001,192.800003,161.043579,4177500
